"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"78","JAWA BARAT","KARAWANG","MAJALAYA",3215111,3215,2017,"JANUARI","2017-01","'2017-01-12",95.875,175.25,1171.5625,913.625,2356.3125,0,65,2234,2417.29785749492,1.08204917524392
"79","JAWA BARAT","KARAWANG","KARAWANG TIMUR",3215112,3215,2017,"JANUARI","2017-01","'2017-01-12",110.9375,252.125,307.6875,632.625,1303.375,22,0,1420,1357.91622764902,0.956279033555647
"80","JAWA BARAT","KARAWANG","KARAWANG BARAT",3215113,3215,2017,"JANUARI","2017-01","'2017-01-12",157.375,198.375,805,1014.5,2175.25,0,167,1850,2247.73871897864,1.21499390215061
"81","JAWA BARAT","KARAWANG","RAWAMERTA",3215120,3215,2017,"JANUARI","2017-01","'2017-01-12",136.625,1186.375,1506.9375,593.75,3423.6875,0,809,4191,3515.88719729952,0.838913671510266
"82","JAWA BARAT","KARAWANG","TEMPURAN",3215130,3215,2017,"JANUARI","2017-01","'2017-01-12",449.1875,4999.125,424.125,1192.9375,7065.375,1227,0,6480,7214.81955529641,1.11339807952105
"83","JAWA BARAT","KARAWANG","KUTAWALUYA",3215140,3215,2017,"JANUARI","2017-01","'2017-01-12",288.5,2948.25,918.75,211.375,4366.875,1619,0,4372,4439.93293505201,1.01553818276578
"84","JAWA BARAT","KARAWANG","RENGASDENGKLOK",3215150,3215,2017,"JANUARI","2017-01","'2017-01-12",90.4375,1432.875,216.5625,293.3125,2033.1875,91,50,2026,2469.24261298613,1.21877720285594
"85","JAWA BARAT","KARAWANG","JAYAKERTA",3215151,3215,2017,"JANUARI","2017-01","'2017-01-12",219.3125,901.9375,22.125,729.3125,1872.6875,412,12,3531,3392.9496452,0.960903326309828
"86","JAWA BARAT","KARAWANG","PEDES",3215160,3215,2017,"JANUARI","2017-01","'2017-01-12",791.625,2642.125,257.375,1566.75,5257.875,25,479,5156,5341.90256018204,1.03605557800272
"87","JAWA BARAT","KARAWANG","CILEBAR",3215161,3215,2017,"JANUARI","2017-01","'2017-01-12",656.5625,2648.4375,477.4375,1358.5625,5141,750,0,5395,5243.21303996577,0.971865253005703
"88","JAWA BARAT","KARAWANG","CIBUAYA",3215170,3215,2017,"JANUARI","2017-01","'2017-01-12",148.5625,3582.25,1.75,317.5625,4050.125,0,300,4416,4771.50797641596,1.08050452364492
"89","JAWA BARAT","KARAWANG","TIRTAJAYA",3215180,3215,2017,"JANUARI","2017-01","'2017-01-12",119.125,584.8125,0,50.25,754.1875,55,0,5658,5061.17397415128,0.894516432334974
"90","JAWA BARAT","KARAWANG","BATUJAYA",3215190,3215,2017,"JANUARI","2017-01","'2017-01-12",13.125,1523.25,0,49.375,1585.75,70,0,4931,4881.18633072389,0.989897856565381
"91","JAWA BARAT","KARAWANG","PAKISJAYA",3215200,3215,2017,"JANUARI","2017-01","'2017-01-12",27.5625,793.4375,0,141.8125,962.8125,819,0,3166,3012.51302481257,0.951520222619259
"92","JAWA BARAT","INDRAMAYU","HAURGEULIS",3212010,3212,2017,"JANUARI","2017-01","'2017-01-24",924.6875,278,817.5,2242.1875,4262.375,0,624,3978,4402.86213902765,1.10680295098734
"93","JAWA BARAT","INDRAMAYU","GANTAR",3212011,3212,2017,"JANUARI","2017-01","'2017-01-24",515,209.8125,150.3125,6747.625,7622.75,0,0,5796,8058.97923604531,1.39043810145709
"94","JAWA BARAT","INDRAMAYU","KROYA",3212020,3212,2017,"JANUARI","2017-01","'2017-01-24",1582.875,246.25,94.0625,7806.3125,9729.5,0,0,6916,10063.7842122026,1.45514520130171
"95","JAWA BARAT","INDRAMAYU","GABUSWETAN",3212030,3212,2017,"JANUARI","2017-01","'2017-01-24",1644.125,591,2447.1875,1323.625,6005.9375,0,0,5950,6240.5684861788,1.04883503969392
