"","sensor","model","period","region","subdistrict","area_ha_1","area_ha_2","area_ha_3","area_ha_4"
"198","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212140","205.6875","552.625","316","6.5"
"199","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212150","459.6875","621.375","540.5625","80.75"
"200","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212160","431.0625","10.625","624.4375","304.375"
"201","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212161","64.5625","16.75","587.9375","22"
"202","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212162","32.125","8.9375","423.375","129.125"
"203","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212170","185.5625","193.875","1977.125","108.1875"
"204","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212171","195.5625","707.6875","997.4375","48.5"
"205","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212180","891","504.5","3187.125","471.4375"
"206","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212190","1725.5","1887.9375","1884","438.375"
"207","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212200","769.75","653.6875","1374.875","1026.5625"
"208","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212210","1438.0625","2367.375","1871.5625","727.4375"
"209","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212220","1389.125","1887","63.5","3.4375"
"210","S1_PROBA","svmRadial0610","'2017-02-05","3212","3212221","1472","927.75","98.9375","10.75"
"211","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213010","713.4375","23.875","91.625","92.625"
"212","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213011","1192.3125","50.25","136.3125","175.1875"
"213","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213020","424.4375","13.6875","60.6875","59.1875"
"214","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213021","826.3125","17.5625","36.875","43.5625"
"215","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213030","890.3125","42.6875","173.6875","177.3125"
"216","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213031","456.9375","19.375","141.125","50.9375"
"217","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213040","699.5","14.6875","178.6875","351.6875"
"218","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213050","1877.9375","53.1875","137","157.125"
"219","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213060","1270.5625","107.8125","176.375","383.6875"
"220","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213070","979.9375","54.0625","94.625","141"
"221","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213080","1609.1875","120.3125","322.1875","422.9375"
"222","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213081","474.3125","3.625","32.375","66.8125"
"223","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213090","1130.5","129","279.3125","298"
"224","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213100","2917","326.4375","334.875","1806.5"
"225","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213110","1795","82.3125","1409.9375","3753.9375"
"226","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213120","855.5","94.4375","75.25","330.5625"
"227","S1_PROBA","svmRadial0610","'2017-02-05","3213","3213130","757.1875","98","771.5","1041.1875"
