"","PROVINSI","KABUPATEN","KECAMATAN","subdistrict","region","TAHUN","BULAN","period1","period","BL","VEG","REPRO","RIPE","total","Paddy_planting","Paddy_harvested","luas_baku_ha","area_RS","area_factor"
"139","JAWA BARAT","SUBANG","CIKAUM",3213130,3213,2017,"JANUARI","2017-01","'2017-01-24",412.5,123.0625,1272.875,857.3125,2665.75,204,213,2673,2723.4368974413,1.01886902261178
"140","JAWA BARAT","SUBANG","PAGADEN",3213140,3213,2017,"JANUARI","2017-01","'2017-01-24",1169.875,48.8125,294.8125,1154.3125,2667.8125,204,486,2701,2691.30194565587,0.99640945785112
"141","JAWA BARAT","SUBANG","PAGADEN BARAT",3213141,3213,2017,"JANUARI","2017-01","'2017-01-24",1683.875,124.6875,348.1875,970.625,3127.375,415,782,3424,3150.8717180915,0.920231226078125
"142","JAWA BARAT","SUBANG","CIPUNAGARA",3213150,3213,2017,"JANUARI","2017-01","'2017-01-24",1994.5,567.5625,1015.1875,2340.0625,5917.3125,805,250,4989,5973.72196389087,1.19737862575483
"143","JAWA BARAT","SUBANG","COMPRENG",3213160,3213,2017,"JANUARI","2017-01","'2017-01-24",1253.5625,2896.125,1239,79.3125,5468,2352,0,5126,5491.74286981692,1.07135054034665
"144","JAWA BARAT","SUBANG","BINONG",3213170,3213,2017,"JANUARI","2017-01","'2017-01-24",415.4375,1354.375,1840.625,399.5,4009.9375,633,0,3748,4014.25264493568,1.07103859256555
"145","JAWA BARAT","SUBANG","TAMBAKDAHAN",3213171,3213,2017,"JANUARI","2017-01","'2017-01-24",1002.8125,3728.0625,554.75,37.625,5323.25,3860,0,4715,5334.38089134242,1.13136392181175
"146","JAWA BARAT","SUBANG","CIASEM",3213180,3213,2017,"JANUARI","2017-01","'2017-01-24",914.25,3353.5,4116.75,411.0625,8795.5625,2928,40,6364,8816.88459665047,1.38543126911541
"147","JAWA BARAT","SUBANG","PAMANUKAN",3213190,3213,2017,"JANUARI","2017-01","'2017-01-24",966.875,1119.375,27.6875,6,2119.9375,1048,0,1887,2127.35879520863,1.12737615008407
"148","JAWA BARAT","SUBANG","SUKASARI",3213191,3213,2017,"JANUARI","2017-01","'2017-01-24",835.6875,2249.75,202.625,3,3291.0625,1569,0,3669,3297.92974837434,0.898863381949942
"149","JAWA BARAT","SUBANG","PUSAKANAGARA",3213200,3213,2017,"JANUARI","2017-01","'2017-01-24",1346.3125,951.6875,76.75,14.625,2389.375,798,0,3060,2399.20022126473,0.784052359890434
"150","JAWA BARAT","SUBANG","PUSAKAJAYA",3213201,3213,2017,"JANUARI","2017-01","'2017-01-24",1410.4375,3059.1875,31.75,8.125,4509.5,2418,0,3907,4528.63939336457,1.15910913574727
"151","JAWA BARAT","SUBANG","LEGONKULON",3213210,3213,2017,"JANUARI","2017-01","'2017-01-24",1519,1100.8125,40.4375,22.125,2682.375,489,0,2630,2693.8086399435,1.0242618402827
"152","JAWA BARAT","SUBANG","BLANAKAN",3213220,3213,2017,"JANUARI","2017-01","'2017-01-24",1361.5625,3436.5,394.5625,25.875,5218.5,4272,0,5300,5233.9803037893,0.987543453545151
"153","JAWA BARAT","KARAWANG","PANGKALAN",3215010,3215,2017,"JANUARI","2017-01","'2017-01-24",392.75,88.5,4.9375,221.75,707.9375,0,425,2341,3024.69137744714,1.29205099421065
"154","JAWA BARAT","KARAWANG","TEGALWARU",3215011,3215,2017,"JANUARI","2017-01","'2017-01-24",819.875,36.9375,153.875,505.875,1516.5625,0,151,1912,1968.29286918545,1.02944187718904
"155","JAWA BARAT","KARAWANG","CIAMPEL",3215020,3215,2017,"JANUARI","2017-01","'2017-01-24",618.3125,34.5,102.8125,406.75,1162.375,0,13,852,1212.66628485266,1.42331723574256
"156","JAWA BARAT","KARAWANG","TELUKJAMBE TIMUR",3215031,3215,2017,"JANUARI","2017-01","'2017-01-24",544.5625,39,276.125,121.625,981.3125,0,50,795,1028.89000178984,1.294201260113
"157","JAWA BARAT","KARAWANG","TELUKJAMBE BARAT",3215032,3215,2017,"JANUARI","2017-01","'2017-01-24",390.3125,88.375,44.4375,15.875,539,128,14,2091,2625.43208526285,1.25558684135
