"","namefile","size","masking","sampling","source","method","Count.Train","Count.Test","NoOfCoef","preProc","model","results.Accuracy","results.Kappa","test.Accuracy","test.Kappa"
"34","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0034.csv","100","WithMasking","LOOCV","LS8","rf",252,106,10,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1 + d_VH_MIN",0.80952380952381,0.741720581641151,0.754716981132076,0.669385796545106
"35","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0035.csv","100","WithMasking","LOOCV","LS8","rf",252,106,9,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07 + VH_MIN + VH_MIN_1",0.805555555555556,0.736390418854874,0.783018867924528,0.707673860911271
"36","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0036.csv","100","WithMasking","LOOCV","LS8","rf",252,106,7,"noProc","Phase ~ LS8_B01 + LS8_B02 + LS8_B03 + LS8_B04 + LS8_B05 + LS8_B06 + LS8_B07",0.797619047619048,0.725981834463349,0.745283018867924,0.656298787078179
"37","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0037.csv","100","WithMasking","LOOCV","LS8","rf",252,106,30,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1 + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1",0.888888888888889,0.849987243813249,0.858490566037736,0.808802308802309
"38","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0038.csv","100","WithMasking","LOOCV","LS8","rf",252,106,20,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1",0.884920634920635,0.844735276621059,0.830188679245283,0.769954183747287
"39","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0039.csv","100","WithMasking","LOOCV","LS8","rf",252,106,20,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1",0.869047619047619,0.823127804836548,0.792452830188679,0.718798987097552
"40","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0040.csv","100","WithMasking","LOOCV","LS8","rf",252,106,20,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MEAN + VH_MED + VH_MIN + VH_SUM + VV_MAX_1 + VV_MEAN_1 + VV_MED_1 + VV_MIN_1 + VV_SUM_1",0.880952380952381,0.839083884974777,0.830188679245283,0.770037362902254
"41","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0041.csv","100","WithMasking","LOOCV","LS8","rf",252,106,20,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VV_MAX + VV_MEAN + VV_MED + VV_MIN + VV_SUM + VH_MAX_1 + VH_MEAN_1 + VH_MED_1 + VH_MIN_1 + VH_SUM_1",0.880952380952381,0.839207095305953,0.80188679245283,0.731321665660833
"42","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0042.csv","100","WithMasking","LOOCV","LS8","rf",252,106,12,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX + VH_MIN",0.876984126984127,0.833864999362001,0.811320754716981,0.744362715543229
"43","WithMasking_LOOCV_ML_LS8_S1AGGPREV_S2_2019_4class_survey_rf_noProc_0043.csv","100","WithMasking","LOOCV","LS8","rf",252,106,11,"noProc","Phase ~ S2_B02 + S2_B03 + S2_B04 + S2_B05 + S2_B06 + S2_B07 + S2_B08 + S2_B11 + S2_B12 + S2_B8A + VH_MAX",0.873015873015873,0.828440132754659,0.80188679245283,0.731289232254949
